"id","netPrice","stock","certificate","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","lab","location","imageLink","videoLink","created_at","updated_at"
87,3116,"BD1-5N",245629432,"RD",1.02,"D","I1","EX","EX","EX","NONE","IGI","HK","http://segoma.com/v.php?type=view&id=P1D1ZBJLCC","",NULL,NULL
88,3923,"BD1-3D",6242854353,"RD",1.07,"D","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=0E2824UWBB","",NULL,NULL
89,5755,"BE1-8E",7258022653,"RD",1,"E","VS2","EX","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=JLGTSSZULL","",NULL,NULL
90,5767,"BD2-1B",2244800142,"RD",1,"E","VS2","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=F7BUUXM55","",NULL,NULL
91,5087,"BB-26",1249478235,"RD",1.01,"E","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=Y7H36X5RXX","",NULL,NULL
92,3564,"BG-9B",6255369044,"RD",1,"E","SI2","VG","VG","GD","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=283W9ZPEEE","",NULL,NULL
93,4400,"BG-7B",1253329759,"RD",1.01,"E","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=XNAPSMC77","",NULL,NULL
94,6580,"BF2-5",6252369060,"RD",1.01,"F","VVS2","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=374RKOXG33","",NULL,NULL
95,6127,"BF2-11",2257312243,"RD",1,"F","VS1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=6PMVS6JB22","",NULL,NULL
96,6404,"BF1-14",3255249339,"RD",1.02,"F","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=HKZI8YG7YY","",NULL,NULL
97,4332,"BF1-4",6255169706,"RD",1,"F","SI1","VG","VG","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=V1M4RJHC66","",NULL,NULL
98,4651,"TT-6",2237605525,"RD",1.02,"F","SI1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=3JHVRH89FF","",NULL,NULL
